date,ball_1,ball_2,ball_3,ball_4,ball_5,mega_ball,mega_plier
08/29/2023,9.0,39.0,52.0,61.0,63.0,25.0,3.0
08/25/2023,12.0,23.0,26.0,31.0,38.0,2.0,2.0
08/22/2023,1.0,12.0,26.0,36.0,50.0,7.0,2.0
08/18/2023,10.0,20.0,29.0,44.0,66.0,11.0,3.0
08/15/2023,18.0,39.0,42.0,57.0,63.0,7.0,3.0
08/11/2023,8.0,9.0,18.0,35.0,41.0,18.0,3.0
08/08/2023,13.0,19.0,20.0,32.0,33.0,14.0,2.0
08/04/2023,11.0,30.0,45.0,52.0,56.0,20.0,2.0
08/01/2023,8.0,24.0,30.0,45.0,61.0,12.0,4.0
07/28/2023,5.0,10.0,28.0,52.0,63.0,18.0,5.0
07/25/2023,3.0,5.0,6.0,44.0,61.0,25.0,4.0
07/21/2023,29.0,40.0,47.0,50.0,57.0,25.0,2.0
07/18/2023,19.0,22.0,31.0,37.0,54.0,18.0,4.0
07/14/2023,10.0,24.0,48.0,51.0,66.0,15.0,2.0
07/11/2023,10.0,17.0,33.0,51.0,64.0,5.0,2.0
07/07/2023,8.0,10.0,17.0,55.0,66.0,3.0,3.0
07/04/2023,21.0,33.0,54.0,61.0,67.0,12.0,3.0
06/30/2023,13.0,22.0,47.0,51.0,55.0,9.0,3.0
06/27/2023,8.0,34.0,35.0,41.0,52.0,12.0,4.0
06/23/2023,13.0,62.0,65.0,67.0,69.0,14.0,5.0
06/20/2023,6.0,37.0,39.0,45.0,46.0,21.0,4.0
06/16/2023,4.0,24.0,34.0,45.0,57.0,19.0,3.0
06/13/2023,8.0,10.0,19.0,44.0,47.0,4.0,4.0
06/09/2023,3.0,19.0,53.0,60.0,68.0,13.0,3.0
06/06/2023,6.0,12.0,23.0,29.0,57.0,4.0,2.0
06/02/2023,3.0,16.0,19.0,36.0,60.0,25.0,2.0
05/30/2023,13.0,16.0,40.0,64.0,68.0,21.0,2.0
05/26/2023,12.0,20.0,37.0,41.0,64.0,1.0,3.0
05/23/2023,3.0,10.0,22.0,65.0,66.0,19.0,2.0
05/19/2023,5.0,11.0,41.0,44.0,55.0,14.0,2.0
05/16/2023,15.0,34.0,36.0,69.0,70.0,17.0,3.0
05/12/2023,1.0,2.0,23.0,40.0,45.0,15.0,3.0
05/09/2023,4.0,37.0,46.0,48.0,51.0,19.0,3.0
05/05/2023,16.0,18.0,28.0,42.0,43.0,11.0,3.0
05/02/2023,3.0,15.0,16.0,32.0,41.0,9.0,2.0
04/28/2023,18.0,38.0,53.0,62.0,64.0,20.0,3.0
04/25/2023,8.0,29.0,46.0,47.0,48.0,12.0,2.0
04/21/2023,3.0,21.0,29.0,46.0,63.0,9.0,3.0
04/18/2023,7.0,9.0,15.0,19.0,25.0,4.0,2.0
04/14/2023,23.0,27.0,41.0,48.0,51.0,22.0,2.0
04/11/2023,31.0,35.0,53.0,54.0,55.0,24.0,3.0
04/07/2023,12.0,32.0,49.0,51.0,66.0,21.0,2.0
04/04/2023,1.0,37.0,45.0,62.0,64.0,4.0,3.0
03/31/2023,16.0,26.0,27.0,42.0,61.0,23.0,4.0
03/28/2023,2.0,3.0,18.0,32.0,68.0,24.0,4.0
03/24/2023,14.0,17.0,33.0,42.0,66.0,15.0,3.0
03/21/2023,1.0,21.0,25.0,27.0,40.0,11.0,2.0
03/17/2023,26.0,28.0,29.0,39.0,49.0,25.0,3.0
03/14/2023,1.0,7.0,23.0,38.0,55.0,2.0,3.0
03/10/2023,9.0,20.0,59.0,60.0,63.0,5.0,2.0
03/07/2023,15.0,22.0,25.0,28.0,69.0,21.0,4.0
03/03/2023,8.0,25.0,36.0,39.0,67.0,11.0,4.0
02/28/2023,14.0,16.0,40.0,52.0,59.0,13.0,2.0
02/24/2023,2.0,22.0,49.0,65.0,67.0,7.0,4.0
02/21/2023,2.0,15.0,30.0,36.0,63.0,24.0,2.0
02/17/2023,2.0,33.0,38.0,57.0,70.0,13.0,3.0
02/14/2023,23.0,24.0,35.0,40.0,43.0,1.0,3.0
02/10/2023,20.0,29.0,30.0,52.0,58.0,19.0,3.0
02/07/2023,9.0,15.0,46.0,55.0,57.0,4.0,2.0
02/03/2023,1.0,4.0,50.0,54.0,59.0,17.0,2.0
01/31/2023,7.0,9.0,18.0,29.0,39.0,13.0,4.0
01/27/2023,4.0,43.0,46.0,47.0,61.0,22.0,4.0
01/24/2023,33.0,41.0,47.0,50.0,62.0,20.0,4.0
01/20/2023,20.0,29.0,31.0,64.0,66.0,17.0,4.0
01/17/2023,2.0,12.0,18.0,24.0,39.0,18.0,3.0
01/13/2023,30.0,43.0,45.0,46.0,61.0,14.0,2.0
01/10/2023,7.0,13.0,14.0,15.0,18.0,9.0,3.0
01/06/2023,3.0,20.0,46.0,59.0,63.0,13.0,3.0
01/03/2023,25.0,29.0,33.0,41.0,44.0,18.0,4.0
12/30/2022,1.0,3.0,6.0,44.0,51.0,7.0,3.0
12/27/2022,9.0,13.0,36.0,59.0,61.0,11.0,2.0
12/23/2022,15.0,21.0,32.0,38.0,62.0,8.0,4.0
12/20/2022,3.0,4.0,33.0,36.0,52.0,17.0,4.0
12/16/2022,8.0,35.0,40.0,53.0,56.0,11.0,3.0
12/13/2022,14.0,22.0,48.0,58.0,68.0,6.0,2.0
12/09/2022,8.0,19.0,53.0,61.0,69.0,19.0,4.0
12/06/2022,15.0,16.0,19.0,28.0,47.0,13.0,3.0
12/02/2022,1.0,21.0,36.0,46.0,52.0,16.0,3.0
11/29/2022,20.0,23.0,37.0,46.0,52.0,6.0,4.0
11/25/2022,29.0,31.0,46.0,54.0,67.0,18.0,2.0
11/22/2022,13.0,23.0,24.0,25.0,43.0,2.0,3.0
11/18/2022,2.0,14.0,16.0,38.0,66.0,9.0,4.0
11/15/2022,6.0,19.0,28.0,46.0,61.0,18.0,2.0
11/11/2022,1.0,5.0,17.0,37.0,70.0,22.0,3.0
11/08/2022,5.0,13.0,29.0,38.0,59.0,23.0,4.0
11/04/2022,2.0,20.0,47.0,55.0,59.0,19.0,2.0
11/01/2022,5.0,9.0,15.0,16.0,17.0,25.0,3.0
10/28/2022,4.0,18.0,31.0,53.0,69.0,7.0,2.0
10/25/2022,21.0,30.0,35.0,45.0,66.0,21.0,3.0
10/21/2022,34.0,36.0,43.0,45.0,68.0,22.0,2.0
10/18/2022,1.0,15.0,20.0,44.0,67.0,23.0,3.0
10/14/2022,9.0,22.0,26.0,41.0,44.0,19.0,2.0
